kol1,kol2,kol3,kol4,kol5,kol6
0,-1.0634124377990104,-0.4769400622890117,-0.46992775030303302,-0.47534312510607146,0
1,-1.0341159332965228,-0.37876956443517301,-0.37418070747154852,-0.37507454350602798,0
2,-1.0378333936240232,-0.28341895097462921,-0.29227503352545459,-0.28475783507648539,0
3,-1.060426127867915,-0.38316581656291593,-0.38614651664442257,-0.38703287287945026,0
4,-1.044967252351092,-0.4843076647489466,-0.48783813009015403,-0.48197396732001291,0
5,-1.0347255369518373,-0.38145481243833712,-0.37977559746142808,-0.3798840545534779,0
6,-1.0400623738606329,-0.29597005445459962,-0.29054719985210942,-0.27909562689154049,0
7,-1.0611516684147309,-0.38296012207799385,-0.38534991800281537,-0.38555935238746331,0
8,-1.038560804120702,-0.47558621858825206,-0.47733275176022649,-0.47602378685617713,0
9,-1.0262621438722268,-0.38318264611168223,-0.38908046797935608,-0.3916198598932118,0
10,-1.0285098236074659,-0.28071126357310999,-0.27760340690092422,-0.28071126357310999,0
11,-1.0581036501381589,-0.38237295782103459,-0.37658733294513641,-0.38254125330869809,1
12,-1.0521665593233636,-0.47385838491490689,-0.46804658074092775,-0.47135265209858385,1
13,-1.020106268923469,-0.33809067511704494,-0.34327417613708033,-0.35374963526920106,1
14,-1.0458031199398208,-0.27389342637287578,-0.27326886311865795,-0.27593541162319274,1
15,-1.0652543384139941,-0.37817679032862495,-0.38297882157662316,-0.3727651554253123,1
16,-1.0588834192309997,-0.45671842447131206,-0.46345398387757747,-0.47046629586355615,1
17,-1.0249008203720156,-0.33683780870888336,-0.33614592725960013,-0.33903312984796047,1
18,-1.0492475675873334,-0.25073596727037978,-0.24728403982341532,-0.23969204337992905,1
19,-1.0612825649051358,-0.35775319792572913,-0.3466905745366492,-0.34793970104508481,1
20,-1.0560597949379789,-0.43720736760152495,-0.439791638312091,-0.43129832603467361,1
21,-1.0384093381818049,-0.3283257969328367,-0.32078241918578659,-0.31862823694369391,1
22,-1.0542328539218986,-0.2342243099807286,-0.23382414071006211,-0.24036522533058302,1
23,-1.0622362393352289,-0.3168349550251463,-0.31583640179834294,-0.32151730948191715,1
24,-1.0566843581921967,-0.42402048116815921,-0.41769631073173791,-0.4107326174421953,1
25,-1.0455749860565435,-0.30802936112062002,-0.31383368549514745,-0.30991427058245108,1
26,-1.0537204876594564,-0.21166897473409529,-0.21155677774231965,-0.20645929441597888,1
27,-1.0675356772467659,-0.3044521470328394,-0.30662502877356135,-0.29825887308682303,1
28,-1.046238818257883,-0.38512552401926409,-0.38707775167616054,-0.37401054203402212,1
29,-1.0310903544183061,-0.29972678372922124,-0.29748284389370805,-0.29187673420465099,1
30,-1.0461733700126805,-0.2022070284276814,-0.20678466569212828,-0.21910015548936979,1
31,-1.0663164699361372,-0.31095957255582762,-0.30855481703210269,-0.30432125054243447,1
32,-1.0532324307452323,-0.39377965198489323,-0.40573237150872676,-0.39984576934023053,1
33,-1.0382073835966086,-0.29254617625557905,-0.29378782296456302,-0.29283414853446993,1
34,-1.047916163284929,-0.21712548843411819,-0.21370348018496058,-0.22101124424928184,1
35,-1.0684781319776815,-0.32436337317329306,-0.3181177406311147,-0.32768814402957841,1
36,-1.0474729851674152,-0.41417706508970803,-0.41081115533643825,-0.41728866166161965,1
37,-1.0308622205350289,-0.30776756813981015,-0.31559891816575114,-0.31530720598713441,1
38,-1.0456722234494158,-0.22043529969150014,-0.21784728908120826,-0.22717085909776552,1
39,-1.0628009641938332,-0.34659333714377694,-0.34489916256796449,-0.36313117373150905,1
40,-1.0541898450750513,-0.44652345781863051,-0.44323608595960373,-0.455170105984808,1
41,-1.0296916319208362,-0.34410443387622025,-0.33707716229133811,-0.33231626994032432,1
42,-1.047089645445515,-0.25501441255675822,-0.26376203801553377,-0.25623361986738707,1
43,-1.0673225029623921,-0.36022527164451951,-0.35873305165390323,-0.35476501804477079,1
44,-1.0435610500541705,-0.46236193315762775,-0.46793064384942629,-0.45817324546466981,1
45,-1.0411544245805826,-0.38030666322249951,-0.37810386228397075,-0.37660416249390277,1
46,-1.0412703614720842,-0.27725559622641971,-0.28055792768434989,-0.27041157972810448,1
47,-1.0459414962296774,-0.37876021468585835,-0.3764826157528125,-0.38465429665380629,1
48,-1.0496439969582743,-0.47881749195139106,-0.47193233655609146,-0.47187249816047777,1
49,-1.0242369881706761,-0.38353419668591265,-0.38383712856370694,-0.3873227151082041,1
50,-1.0339756870568033,-0.29151957378083182,-0.28822846202207913,-0.30248869967676539,1
51,-1.0526153472904662,-0.38165115717394449,-0.38342760954372579,-0.38922071421907561,1
52,-1.0508482446699996,-0.47801341351033216,-0.48648802628912025,-0.502752850196865,1
53,-1.0265819052987875,-0.36517876883141487,-0.36982746419065299,-0.36965916870298948,1
54,-1.0380633974571631,-0.27897969000003897,-0.27709478053820791,-0.2677674706219248,1
55,-1.0599455507531426,-0.37719693660045084,-0.36574910353960777,-0.36795938427758823,1
56,-1.0447335086182261,-0.46863374499788707,-0.46648330265552024,-0.47016710388548771,1
57,-1.0209533562113753,-0.35408622624452801,-0.34708887385745274,-0.34870825043874809,1
58,-1.0427345322147565,-0.25059011118107138,-0.26091971422388371,-0.26030263076911764,1
59,-1.0626719376532912,-0.38490860983516445,-0.38435884457546377,-0.3751923503473924,1
60,-1.0530809648063351,-0.45724201043293183,-0.45870057132601538,-0.46002449582896815,1
61,-1.0420276911665698,-0.34813978568041809,-0.35475940819518198,-0.34788547249905993,1
62,-1.0515008571721614,-0.25609150367780453,-0.24886601740745209,-0.24306917283237639,1
63,-1.068412683732479,-0.34091616935992858,-0.34723285999689818,-0.35028835807292197,1
64,-1.0517944393006409,-0.45573857074313801,-0.44482554334309221,-0.44139231539475704,1
65,-1.0323002119796203,-0.32510200336914946,-0.32310115701581688,-0.31878531273217986,1
66,-1.0431047822876161,-0.2272905358889929,-0.21877478421322036,-0.22125807763118829,1
67,-1.0508800338176694,-0.31977451620966857,-0.31870864478779981,-0.32242610511530001,1
68,-1.0475982718082313,-0.3941274626593978,-0.4002833376081556,-0.40248239864695851,1
69,-1.0428055903095477,-0.31819066867576884,-0.31923410069928249,-0.3219268285018983,1
70,-1.0482733237087483,-0.22027448400328833,-0.2091333227199654,-0.2168562156538566,1
71,-1.0669429031402178,-0.30656145047822181,-0.30473263951227858,-0.31093339325774666,1
72,-1.0543375711142227,-0.39134123736363557,-0.39183864402717433,-0.39111310348035844,1
73,-1.0302544868295773,-0.28423237916500277,-0.28736267523554365,-0.2914915245328879,1
74,-1.0482396646112155,-0.21507976328407533,-0.20663132980336821,-0.20466414254756832,1
75,-1.0770481121994788,-0.30693918035053319,-0.31451995709484187,-0.31740715968320216,1
76,-1.0495766787632088,-0.40466276018713215,-0.40372404535594247,-0.39408258386268752,1
77,-1.047577702359739,-0.30554232780292623,-0.30391547142217917,-0.3057442823881224,1
78,-1.0468764711611411,-0.20828810538192211,-0.20361323072460299,-0.21071904020372806,1
79,-1.0678386091245602,-0.33508192578759433,-0.32626698213375338,-0.33672748166697064,1
80,-1.0572303835521717,-0.41818249769609905,-0.41912869232674044,-0.43133572503193218,1
81,-1.0346769182554012,-0.31794757519358829,-0.31955947197543189,-0.31983622455514521,1
82,-1.038611292767001,-0.24175646802860118,-0.23398495639827388,-0.24161809173874454,1
83,-1.0688558618499928,-0.33926687358082641,-0.33812246426471471,-0.34452143269565311,1
84,-1.0499113997886729,-0.45459042152730039,-0.45352829000515749,-0.45768331860058276,1
85,-1.0288725938808738,-0.35798694165859513,-0.36385110442873619,-0.35367483727468396,1
86,-1.0372013505703537,-0.25812600912866984,-0.2679357661095883,-0.26597605865324009,1
87,-1.061952006956064,-0.3726903574307952,-0.38018137658168338,-0.37442941080331793,1
88,-1.0455207575105188,-0.46138955922890534,-0.45958692756104308,-0.46423562292028125,1
89,-1.0286855988945811,-0.38358281538234879,-0.38422607813519588,-0.37905753671406384,1
90,-1.0327246905985048,-0.29056963925046453,-0.27712095983628887,-0.28587232519479028,1
91,-1.0438695917815535,-0.37762328516919835,-0.37537934533368517,-0.37303068830584807,1
92,-1.0440827660659273,-0.48812984226877071,-0.48512296288918305,-0.48486490980809904,1
93,-1.0228831444699165,-0.38245336566514049,-0.3850675555735133,-0.38482446209133275,1
94,-1.0382803116412629,-0.29023678817486342,-0.2895449067255802,-0.29308659176596519,1
95,-1.0314568645914399,-0.39104578528529305,-0.39571692004288628,-0.40134172923057265,1
96,-0.99823346537680424,-0.47349935454122483,-0.47577321357454483,-0.47051117466026643,1
97,-0.95694684235322469,-0.38342199969413698,-0.38040764051509762,-0.37585244264900586,1
98,-0.89073004775709375,-0.25616256177259578,-0.25490969536443425,-0.2479796611724244,1
99,-0.85494107733052138,-0.34675789273171459,-0.34768538786372666,-0.34194838168426467,1
100,-0.79574033462009497,-0.4032864770880174,-0.40969292531840756,-0.41645092412302809,1
101,-0.7510279634476319,-0.30140973860585613,-0.30273366310880889,-0.30857912638032076,1
102,-0.76458883985358328,-0.20197889454440421,-0.19845216910292268,-0.20677344599295072,1
103,-0.80564171914429683,-0.28262983213247372,-0.28657916624297697,-0.28652306774708913,1
104,-0.7847786885236131,-0.38889908284265207,-0.38706279207725713,-0.37869289649079296,1
105,-0.81604799013148921,-0.27031247238536932,-0.27646834733412712,-0.26925408076295226,1
106,-0.82739484589973422,-0.17245238620877662,-0.16820386012020502,-0.16671911992904045,1
107,-0.86106890303133532,-0.27298837063921877,-0.27056865551659043,-0.26967855938183682,1
108,-0.87657826719445719,-0.36084983489873734,-0.35797011210982876,-0.35905468303032678,1
109,-0.87770023711221379,-0.27843553458992704,-0.27636737004152906,-0.27494994804542988,1
110,-0.90591404064406622,-0.15985640393209599,-0.15936647706800894,-0.16122894713148489,1
111,-0.93480102612657257,-0.25720973369583527,-0.2502871793032771,-0.2490268330956639,1
112,-0.92162722934224728,-0.36395021177147135,-0.35794393281174774,-0.36439899973857404,1
113,-0.92256594417343696,-0.25618687112081384,-0.26536458504806276,-0.26230160717258727,1
114,-0.93107795594948362,-0.17163334816881431,-0.17415778048376665,-0.17882143544190821,1
115,-0.9753995076005948,-0.27856082123074316,-0.27532206806815251,-0.27444319163257652,1
116,-0.95995185178294939,-0.36136220116117951,-0.35140284819122686,-0.36243929228222582,1
117,-0.94657236051370208,-0.25936578588779086,-0.2642912338267423,-0.27266486931293232,1
118,-0.96382451794907265,-0.16051462628384652,-0.1554695015536677,-0.15834174454312458,1
119,-0.99989959070467282,-0.29741739564850561,-0.29856180496461732,-0.29303797306952906,1
120,-0.99677490448372075,-0.38922445411880147,-0.38673742080110773,-0.38894022173963649,1
121,-0.98467071902099002,-0.29462930040288049,-0.30598363597057715,-0.30148453660037322,1
122,-0.99486194577394571,-0.20463422334976147,-0.20811606999453278,-0.20458934455305122,1
123,-1.0281582730332355,-0.30448206623064628,-0.29962019658703437,-0.30096656048834231,1
124,-1.0284425054124005,-0.42021700314696436,-0.41355250183549019,-0.42471984241689414,1
125,-1.0060984745002779,-0.30906905324440781,-0.31228536700864334,-0.31249480139329122,1
126,-1.0107359501603386,-0.20982520416924863,-0.21744711981054174,-0.22130295642789855,1
127,-1.0362046672934131,-0.32641283822306172,-0.32350319623634632,-0.32206333484189203,1
128,-1.0330650214735575,-0.42584181233465074,-0.42544912286343589,-0.41383299431492937,1
129,-1.0271541099568433,-0.36327141997122864,-0.35940436365469425,-0.35714920412000351,1
130,-1.0436582874470428,-0.27528840897061979,-0.27142883245353711,-0.26900911733090876,1
131,-1.08389586859752,-0.37893598997297356,-0.38144546268902246,-0.38353980653550146,1
132,-1.0866072958987649,-0.47202209414951196,-0.47951311330040014,-0.47915782282644387,1
133,-1.062699986901235,-0.39272313031233913,-0.38747231109723829,-0.3843345352272457,1
134,-1.0966171375150167,-0.32821546989092398,-0.32168560496958065,-0.31891807917244774,1
135,-1.1085661171391243,-0.4108074154367124,-0.4057061922106458,-0.40581838920242147,1
136,-1.1135888024709482,-0.50378506252120103,-0.49676527073577065,-0.50346717104450334,1
137,-1.1060323350748573,-0.41358429098315996,-0.41481845789269223,-0.42064522166557478,1
138,-1.1062305497603278,-0.29639266312362123,-0.29951173949498455,-0.29666193590388285,1
139,-1.1300537110140261,-0.4062671771695241,-0.41309997396866172,-0.40731434909276359,1
140,-1.124834680946595,-0.49774886436367055,-0.50036679417176932,-0.51050192242883718,1
141,-1.1402468077168446,-0.4153383039545861,-0.4099939872463389,-0.41626953898632407,1
142,-1.1689206189149772,-0.3190190564650458,-0.32450174946314969,-0.32100868311920083,1
143,-1.1897742997863463,-0.42443934993745497,-0.41529529510773877,-0.41263622640265568,1
144,-1.1888598943033748,-0.52822156732993952,-0.5165231609874642,-0.52756334497818902,1
145,-1.1705474752957243,-0.41419763453820024,-0.42123238592253409,-0.42147921930444054,1
146,-1.1890711986378855,-0.32509639351956066,-0.32334238054813452,-0.33590470372728248,1
147,-1.2038026636580297,-0.418649985161831,-0.41620035084139578,-0.41574034317511555,1
148,-1.1980862269270598,-0.50424881008720712,-0.50338489325053448,-0.50563631288549937,1
149,-1.1881773626034062,-0.41536448325266712,-0.41368526827575808,-0.40880843903324277,1
150,-1.1977066271048855,-0.3020099925118559,-0.30405197776217291,-0.30422401314956227,1
151,-1.2091021015695667,-0.39023048714505659,-0.39237718958769752,-0.39781500378909113,1
152,-1.1964668503457645,-0.47569841558002773,-0.48428896525031734,-0.47060093225368693,1
153,-1.1703417808108023,-0.35822629524104982,-0.35991672991713641,-0.35744091629862024,1
154,-1.1737450895613306,-0.26985433466895203,-0.27244982507869564,-0.26898293803282775,1
155,-1.1780609338449675,-0.35816084699584738,-0.35929403661278153,-0.35670228610276383,1
156,-1.1595652597507502,-0.4432697450571364,-0.43243899545105946,-0.43247639444831804,1
157,-1.1352690011817312,-0.33553258370455991,-0.33827393020361179,-0.34376036310144154,1
158,-1.1367874004704286,-0.22713346010050697,-0.23138572608880445,-0.23395129730074118,1
159,-1.1488298775876826,-0.34911776945872924,-0.34894573407133994,-0.35079698443563828,1
160,-1.1308203904578265,-0.42176532163346847,-0.42678052716584042,-0.43709143071002349,1
161,-1.1108624155707996,-0.33341954035945165,-0.33272765891016842,-0.3362581242513758,1
162,-1.1252423300167131,-0.2394788690955553,-0.2334052719407663,-0.23507326721849775,1
163,-1.1457070613165934,-0.33292774354550164,-0.33470419591528294,-0.33535493846758174,1
164,-1.1278509100754972,-0.4380151859423097,-0.43920821395485754,-0.44768282673364568,1
165,-1.1058846090356862,-0.34859231354724657,-0.34468037843400195,-0.34562283316491749,1
166,-1.1121751203745747,-0.25988002210009598,-0.25560531671344333,-0.2664846850159564,1
167,-1.103328387573064,-0.35574487177294484,-0.35084186323234856,-0.35053145155510257,1
168,-1.0947023088553789,-0.43868836789296367,-0.43472033428383122,-0.44349787894041359,1
169,-1.0856386618697684,-0.36152114689952836,-0.36315548307972711,-0.35932208586072545,1
170,-1.0865773767009581,-0.2720683553066584,-0.27477230280845177,-0.27680680825931703,1
171,-1.102344793945164,-0.38225328102980721,-0.38555935238746331,-0.38482633204119565,1
172,-1.0646671741570348,-0.47069816964655919,-0.47789747661883064,-0.46811763883571905,1
173,-1.0466053284310166,-0.37617781392515526,-0.38188864080653634,-0.37165253525687036,1
174,-1.0498253820949781,-0.2995079995952587,-0.30370790698739419,-0.29073045493867633,1
175,-1.0664193171785981,-0.39361883629668148,-0.40041049419883468,-0.3878107720224282,1
176,-1.0500292066300372,-0.48102029288991982,-0.47990580277161493,-0.48351854590679116,1
